Code,Long,Lat,Flag
,140.11875,35.5666666666667,0
,140.1125,35.5666666666667,0
,140.1125,35.5625,0
534020794,140.11875,35.5625,1
,140.125,35.5625,0
,140.125,35.5666666666667,0
,140.11875,35.5666666666667,0
,140.11875,35.5625,0
534020861,140.075,35.5666666666667,1
,140.08125,35.5666666666667,0
,140.08125,35.5708333333333,0
,140.075,35.5708333333333,0
,140.075,35.5666666666667,0
534020862,140.08125,35.5666666666667,1
,140.0875,35.5666666666667,0
,140.0875,35.5708333333333,0
,140.08125,35.5708333333333,0
,140.08125,35.5666666666667,0
534020863,140.075,35.5708333333333,1
,140.08125,35.5708333333333,0
,140.08125,35.575,0
,140.075,35.575,0
,140.075,35.5708333333333,0
534020864,140.08125,35.5708333333333,1
,140.0875,35.5708333333333,0
,140.0875,35.575,0
,140.08125,35.575,0
,140.08125,35.5708333333333,0
534020871,140.0875,35.5666666666667,1
,140.09375,35.5666666666667,0
,140.09375,35.5708333333333,0
,140.0875,35.5708333333333,0
,140.0875,35.5666666666667,0
534020872,140.09375,35.5666666666667,1
,140.1,35.5666666666667,0
,140.1,35.5708333333333,0
,140.09375,35.5708333333333,0
,140.09375,35.5666666666667,0
534020873,140.0875,35.5708333333333,1
,140.09375,35.5708333333333,0
,140.09375,35.575,0
,140.0875,35.575,0
,140.0875,35.5708333333333,0
534020874,140.09375,35.5708333333333,1
,140.1,35.5708333333333,0
,140.1,35.575,0
,140.09375,35.575,0
,140.09375,35.5708333333333,0
534020881,140.1,35.5666666666667,1
,140.10625,35.5666666666667,0
,140.10625,35.5708333333333,0
,140.1,35.5708333333333,0
,140.1,35.5666666666667,0
534020882,140.10625,35.5666666666667,1
,140.1125,35.5666666666667,0
,140.1125,35.5708333333333,0
,140.10625,35.5708333333333,0
,140.10625,35.5666666666667,0
534020883,140.1,35.5708333333333,1
,140.10625,35.5708333333333,0
,140.10625,35.575,0
,140.1,35.575,0
,140.1,35.5708333333333,0
534020884,140.10625,35.5708333333333,1
,140.1125,35.5708333333333,0
,140.1125,35.575,0
,140.10625,35.575,0
,140.10625,35.5708333333333,0
534020891,140.1125,35.5666666666667,1
,140.11875,35.5666666666667,0
,140.11875,35.5708333333333,0
,140.1125,35.5708333333333,0
,140.1125,35.5666666666667,0
534020892,140.11875,35.5666666666667,1
,140.125,35.5666666666667,0
,140.125,35.5708333333333,0
,140.11875,35.5708333333333,0
,140.11875,35.5666666666667,0
534020893,140.1125,35.5708333333333,1
,140.11875,35.5708333333333,0
,140.11875,35.575,0
,140.1125,35.575,0
,140.1125,35.5708333333333,0
534020894,140.11875,35.5708333333333,1
,140.125,35.5708333333333,0
,140.125,35.575,0
,140.11875,35.575,0
,140.11875,35.5708333333333,0
534020961,140.075,35.575,1
,140.08125,35.575,0
,140.08125,35.5791666666667,0
,140.075,35.5791666666667,0
,140.075,35.575,0
534020962,140.08125,35.575,1
,140.0875,35.575,0
,140.0875,35.5791666666667,0
,140.08125,35.5791666666667,0
,140.08125,35.575,0
534020963,140.075,35.5791666666667,1
,140.08125,35.5791666666667,0
,140.08125,35.5833333333333,0
,140.075,35.5833333333333,0
,140.075,35.5791666666667,0
534020964,140.08125,35.5791666666667,1
,140.0875,35.5791666666667,0
,140.0875,35.5833333333333,0
